,CDID,ADDRESS1,ADDRESS2,ADDRESS3,CITY,STATEPROVINCE,POSTALCODE,COUNTRY,Scenario,Use Case,Raw Data
0,710616846,6th Floor,Farringdon Street,,London,MIDDLESEX,EC4A 4AB,GB,Special character ,Swapping the order of dataset  - City,"6th Floor,Farringdon Street,London,MIDDLESEX,EC4A 4AB"
1,710499026,1ST FLOOR,7 PRINCES STREET,,LONDON,UNITED KINGDOM-NA,EC2R 8AQ,GB,Special character ,Swapping the order of dataset  - City,"1ST FLOOR,7 PRINCES STREET,LONDON, ,EC2R 8AQ"
2,710492646,6TH FLOOR,65 GRESHAM STREET,,LONDON,UNITED KINGDOM-NA,EC2V 7NQ,GB,Special character ,Swapping the order of dataset  - City,"6TH FLOOR,65 GRESHAM STREET,LONDON, ,EC2V 7NQ"
3,710655173,6TH FLOOR,130 JERMYN STREET,,LONDON,UNITED KINGDOM-NA,SW1Y 4UR,GB,Special character ,Swapping the order of dataset  - City,"6TH FLOOR,130 JERMYN STREET,LONDON, ,SW1Y 4UR"
4,710680968,2ND FLOOR,36 QUEEN STREET,,LONDON,GB-LND,EC4R 1BN,GB,Special character ,Swapping the order of dataset  - City,"2ND FLOOR,36 QUEEN STREET,LONDON, ,EC4R 1BN"
5,710705623,1ST FLOOR,10 NEW BURLINGTON STREET,,LONDON,,W1S 3BE,GB,Special character ,Swapping the order of dataset  - City,"1ST FLOOR,10 NEW BURLINGTON STREET,LONDON,W1S 3BE"
6,710787429,7TH FLOOR,20 GRESHAM STREET,,LONDON,GB-ENG,EC2V 7JE,GB,Special character ,Swapping the order of dataset  - City,"7TH FLOOR,20 GRESHAM STREET,LONDON, ,EC2V 7JE"
7,710819140,3RD FLOOR,11 HILL STREET,,LONDON,GB-ENG,W1J 5LF,GB,Special character ,Swapping the order of dataset  - City,"3RD FLOOR,11 HILL STREET,LONDON, ,W1J 5LF"
8,710851358,6TH FLOOR,130 JERMYN STREET,,LONDON,,SW1Y 4UR,GB,Special character ,Swapping the order of dataset  - City,"6TH FLOOR,,130 JERMYN STREET,LONDON,SW1Y 4UR"
9,710863884,"SUITE 2, 3RD FLOOR, 11-12 ST. JAMES'S SQUARE","1 GREAT WINCHESTER STREET, MAILSTOP 428",,LONDON,UNITED KINGDOM-NA,SW1Y 4LB,GB,Special character ,Swapping the order of dataset  - City,"SUITE 2, 3RD FLOOR, 11-12 ST. JAMES'S SQUARE,1 GREAT WINCHESTER STREET, MAILSTOP 428,LONDON, ,SW1Y 4LB"
10,710967976,THIRD FLOOR CLAREVILLE HOUSE,26-27 OXENDON STREET,,LONDON,GB-LND,SW1Y 4EL,GB,Special character ,Swapping the order of dataset  - City,"THIRD FLOOR CLAREVILLE HOUSE,26-27 OXENDON STREET,LONDON, ,SW1Y 4EL"
11,710947560,CUNARD HOUSE 5TH FLOOR,15 REGENT STREET,,LONDON,GB-ENG,SW1Y 4LR,GB,Special character ,Swapping the order of dataset  - City,"CUNARD HOUSE 5TH FLOOR,15 REGENT STREET,LONDON, ,SW1Y 4LR"
12,712130273,ASTICUS BUILDING 2ND FLOOR,21 PALMER STREET,,LONDON,UNITED KINGDOM-NA,SW1H 0AD,GB,Special character ,Swapping the order of dataset  - City,"ASTICUS BUILDING 2ND FLOOR,21 PALMER STREET,LONDON, ,SW1H 0AD"
13,712784154,2ND FLOOR,11 THISTLE STREET,,EDINBURGH,UNITED KINGDOM-NA,EH2 1DF,GB,Special character ,Swapping the order of dataset  - City,"2ND FLOOR,11 THISTLE STREET,EDINBURGH, ,EH2 1DF"
14,712714194,FIFTH FLOOR,100 WOOD STREET,,LONDON,GB-ENG,EC2V 7EX,GB,Special character ,Swapping the order of dataset  - City,"FIFTH FLOOR,100 WOOD STREET,LONDON, ,EC2V 7EX"
15,712736450,8TH FLOOR,165 FLEET STREET,,LONDON,UNITED KINGDOM-NA,EC4A 2DY,GB,Special character ,Swapping the order of dataset  - City,"8TH FLOOR,165 FLEET STREET,LONDON, ,EC4A 2DY"
16,712778073,4TH FLOOR ROPEMAKER PLACE,25 ROPEMAKER STREET,,LONDON,UNITED KINGDOM-NA,EC2Y 9LY,GB,Special character ,Swapping the order of dataset  - City,"4TH FLOOR ROPEMAKER PLACE,25 ROPEMAKER STREET,LONDON, ,EC2Y 9LY"
17,712192180,REGENTS PLACE 14TH FLOOR,10 BROCK STREET,,LONDON,GB-LND,NW1 3FG,GB,Special character ,Swapping the order of dataset  - City,"REGENTS PLACE 14TH FLOOR,10 BROCK STREET,LONDON, ,NW1 3FG"
18,712137592,6TH FLOOR,12 ARTHUR STREET,,LONDON,UNITED KINGDOM-NA,EC4R 9AB,GB,Special character ,Swapping the order of dataset  - City,"6TH FLOOR,12 ARTHUR STREET,LONDON, ,EC4R 9AB"
19,711679204,6TH FLOOR GORDON CHAMBERS,90 MITCHELL STREET,,GLASGOW,GB-SCT,G1 3NQ,GB,Special character ,Swapping the order of dataset  - City,"6TH FLOOR GORDON CHAMBERS,90 MITCHELL STREET,GLASGOW,GB-SCT,G1 3NQ"
20,714634044,4TH FLOOR,61 DUBLIN STREET,,EDINBURGH,UNITED KINGDOM-NA,EH3 6NL,GB,Special character ,Swapping the order of dataset  - City,"4TH FLOOR,61 DUBLIN STREET,EDINBURGH, ,EH3 6NL"
21,712142552,7th Floor,85 Fleet Street,,London,,EC4Y 1AE,GB,Special character ,Swapping the order of dataset  - City,"7th Floor,85 Fleet Street,London,EC4Y 1AE"
22,711639890,7TH FLOOR DASHWOOD HOUSE,69 OLD BROAD STREET,,LONDON,GB-ENG,EC2M 1QS,GB,Special character ,Swapping the order of dataset  - City,"7TH FLOOR DASHWOOD HOUSE,69 OLD BROAD STREET,LONDON, ,EC2M 1QS"
23,711917075,5TH FLOOR,6 ST. ANDREW STREET,,LONDON,UNITED KINGDOM-NA,EC4A 3AE,GB,Special character ,Swapping the order of dataset  - City,"5TH FLOOR,6 ST. ANDREW STREET,LONDON, ,EC4A 3AE"
24,711891760,5th floor,34 threadneedle street,,london,GB-ENG,EC2R 8AY,GB,Special character ,Swapping the order of dataset  - City,"5th floor,34 threadneedle street,london, ,EC2R 8AY"
25,712723008,1ST FLOOR,14 FLORAL STREET,,LONDON,GB-LND,WC2E 9DH,GB,Special character ,Swapping the order of dataset  - City,"1ST FLOOR,14 FLORAL STREET,LONDON, ,WC2E 9DH"
26,712723059,3RD FLOOR,24 KING WILLIAM STREET,,LONDON,,EC4R 9AT,GB,Special character ,Swapping the order of dataset  - City,"3RD FLOOR,24 KING WILLIAM STREET,LONDON,EC4R 9AT"
27,712723165,2ND FLOOR WAVERLEY HOUSE,7-12 NOEL STREET,,LONDON,GB-ENG,W1F 8GQ,GB,Special character ,Swapping the order of dataset  - City,"2ND FLOOR WAVERLEY HOUSE,7-12 NOEL STREET,LONDON, ,W1F 8GQ"
28,711576859,1st Floor,14-15 Conduit Street,,London,GB-ENG,W1S 2XJ,GB,Special character ,Swapping the order of dataset  - City,"1st Floor,14-15 Conduit Street,London, ,W1S 2XJ"
29,712723123,FIRST FLOOR,55 HIGH STREET,,LYMINGTON,GB-ENG,SO41 9AH,GB,Special character ,Swapping the order of dataset  - City,"FIRST FLOOR,55 HIGH STREET,LYMINGTON, ,SO41 9AH"
30,712722864,EIGHTH FLOOR,6 NEW STREET SQUARE,,LONDON,GB-LND,EC4A 3AQ,GB,Special character ,Swapping the order of dataset  - City,"EIGHTH FLOOR,6 NEW STREET SQUARE,LONDON, ,EC4A 3AQ"
31,712673064,7TH FLOOR,21 LOMBARD STREET,,LONDON,UNITED KINGDOM-NA,EC3V 9AH,GB,Special character ,Swapping the order of dataset  - City,"7TH FLOOR,21 LOMBARD STREET,LONDON, ,EC3V 9AH"
32,711927952,8th Floor,6 New Street Square,,London,MIDDLESEX,EC4A 3AQ,GB,Special character ,Swapping the order of dataset  - City,"8th Floor,6 New Street Square,London,MIDDLESEX,EC4A 3AQ"
33,712751964,4TH FLOOR,7/10 CHANDOS STREET,,LONDON,UNITED KINGDOM-NA,W1G 9DQ,GB,Special character ,Swapping the order of dataset  - City,"4TH FLOOR,7/10 CHANDOS STREET,LONDON, ,W1G 9DQ"
34,712751983,4TH FLOOR,7-10 CHANDOS STREET,,LONDON,UNITED KINGDOM-NA,W1G 9DQ,GB,Special character ,Swapping the order of dataset  - City,"4TH FLOOR,7-10 CHANDOS STREET,LONDON, ,W1G 9DQ"
35,712751987,4TH FLOOR,"IMPERIAL HOUSE, 8 KEAN STREET",,LONDON,GB-LND,WC2B 4AS,GB,Special character ,Swapping the order of dataset  - City,"4TH FLOOR,IMPERIAL HOUSE, 8 KEAN STREET,LONDON, ,WC2B 4AS"
36,712702248,FIFTH FLOOR,100 WOOD STREET,,LONDON,UNITED KINGDOM-NA,EC2V 7EX,GB,Special character ,Swapping the order of dataset  - City,"FIFTH FLOOR,100 WOOD STREET,LONDON, ,EC2V 7EX"
37,712671808,UPPER GROUND FLOOR,1 VICTORIA STREET,,LONDON,GB-LND,SW1H 0ET,GB,Special character ,Swapping the order of dataset  - City,"UPPER GROUND FLOOR,1 VICTORIA STREET,LONDON, ,SW1H 0ET"
38,712671854,2ND FLOOR,6 ST. ANDREW STREET,,LONDON,GB-ENG,EC4A 3AE,GB,Special character ,Swapping the order of dataset  - City,"2ND FLOOR,6 ST. ANDREW STREET,LONDON, ,EC4A 3AE"
39,712752810,"7TH FLOOR, SOUTH BLOCK",55 BAKER STREET,,LONDON,,W1U 8EW,GB,Special character ,Swapping the order of dataset  - City,"7TH FLOOR, SOUTH BLOCK,55 BAKER STREET,LONDON,W1U 8EW"
40,711533108,4th Floor,20 Gresham Street,,London,GB-ENG,EC2V 7JE,GB,Special character ,Swapping the order of dataset  - City,"4th Floor,20 Gresham Street,London, ,EC2V 7JE"
41,711556511,4TH FLOOR,115 GEORGE STREET,,EDINBURGH,UNITED KINGDOM-NA,EH2 4JN,GB,Special character ,Swapping the order of dataset  - City,"4TH FLOOR,115 GEORGE STREET,EDINBURGH, ,EH2 4JN"
42,710434601,Hydro House,Newcombe Way,Orton Southgate,Peterborough,CAMBRIDGESHIRE,PE2 6SE,GB,Special character ,Swapping the order of dataset  - City,"Hydro House,Newcombe Way,Orton Southgate,Peterborough,CAMBRIDGESHIRE,PE2 6SE"
43,710584880,SWAN HOUSE,WESTPOINT ROAD,THORNABY,STOCKTON ON TEES,GB-STT,TS17 6BP,GB,Special character ,Swapping the order of dataset  - City,"SWAN HOUSE,WESTPOINT ROAD,THORNABY,STOCKTON ON TEES,GB-STT,TS17 6BP"
44,710007208,MILLER HOUSE,"2 LOCHSIDE VIEW, EDINBURGH PARK",,EDINBURGH,GB-SCT,EH12 9DH,GB,Special character ,Swapping the order of dataset  - City,"MILLER HOUSE,2 LOCHSIDE VIEW, EDINBURGH PARK,EDINBURGH,GB-SCT,EH12 9DH"
45,710625091,ATHENA HOUSE ATHENA DRIVE,TACHBROOK PARK,,WARWICK,GB-ENG,CV34 6RL,GB,Special character ,Swapping the order of dataset  - City,"ATHENA HOUSE ATHENA DRIVE,TACHBROOK PARK,WARWICK, ,CV34 6RL"
46,710622912,"6TH FLOOR, BASILDON HOUSE",7 - 11 MOORGATE,,LONDON,GB-LND,EC2R 6AF,GB,Special character ,Swapping the order of dataset  - City,"6TH FLOOR, BASILDON HOUSE,7 - 11 MOORGATE,LONDON, ,EC2R 6AF"
47,710631152,FORESTERS HOUSE,CROMWELL AVENUE,,BROMLEY,GB-LND,BR2 9BF,GB,Special character ,Swapping the order of dataset  - City,"FORESTERS HOUSE,CROMWELL AVENUE,BROMLEY, ,BR2 9BF"
48,717194022,16-20 ARBOR HOUSE,BROADWAY NORTH,,WALSALL,GB-WLL,WS1 2AN,GB,Special character ,Swapping the order of dataset  - City,"16-20 ARBOR HOUSE,BROADWAY NORTH,WALSALL,GB-WLL,WS1 2AN"
49,710692233,GLOBE HOUSE,4 TEMPLE PLACE,,LONDON,GB-ENG,WC2R 2PG,GB,Special character ,Swapping the order of dataset  - City,"GLOBE HOUSE,4 TEMPLE PLACE,LONDON, ,WC2R 2PG"
50,710687322,COUNTRYWIDE HOUSE ASPARAGUS WAY,VALE PARK,,EVESHAM,GB-ENG,WR11 1GN,GB,Special character ,Swapping the order of dataset  - City,"COUNTRYWIDE HOUSE ASPARAGUS WAY,VALE PARK,EVESHAM, ,WR11 1GN"
51,710646279,Hydro House,Newcombe Way,Orton Southgate,Peterborough,GB-ENG,PE2 6SE,GB,Special character ,Swapping the order of dataset  - City,"Hydro House,Newcombe Way,Orton Southgate,Peterborough, ,PE2 6SE"
52,710711237,JUBILEE HOUSE,5 MID POINT BUSINESS PARK,,THORNBURY,,BD3 7AG,GB,Special character ,Swapping the order of dataset  - City,"JUBILEE HOUSE,5 MID POINT BUSINESS PARK,THORNBURY,BD3 7AG"
53,710098174,BMI HEALTHCARE HOUSE 3 PARIS GARDEN,SOUTHWARK,,LONDON,GB-ENG,SE1 8ND,GB,Special character ,Swapping the order of dataset  - City,"BMI HEALTHCARE HOUSE 3 PARIS GARDEN,SOUTHWARK,LONDON, ,SE1 8ND"
54,710740904,"4TH FLOOR, LANSDOWNE HOUSE",57 BERKELEY SQUARE,,LONDON,UNITED KINGDOM-NA,W1J 6ER,GB,Special character ,Swapping the order of dataset  - City,"4TH FLOOR, LANSDOWNE HOUSE,57 BERKELEY SQUARE,LONDON, ,W1J 6ER"
55,817633437,Quadrant House Floor 6,4 Thomas More Square,,London,UNITED KINGDOM-NA,E1W 1YW,GB,Special character ,Swapping the order of dataset  - City,"Quadrant House Floor 6,4 Thomas More Square,London, ,E1W 1YW"
56,710747569,"2ND FLOOR, SOLAR HOUSE",915 HIGH ROAD,,LONDON,,N12 8QJ,GB,Special character ,Swapping the order of dataset  - City,"2ND FLOOR, SOLAR HOUSE,915 HIGH ROAD,LONDON,N12 8QJ"
57,710739586,DEVONSHIRE HOUSE,60 GOSWELL ROAD,,LONDON,GB-LND,EC1M 7AD,GB,Special character ,Swapping the order of dataset  - City,"DEVONSHIRE HOUSE,60 GOSWELL ROAD,LONDON, ,EC1M 7AD"
58,710775070,SACKVILLE HOUSE 40 PICCADILLY,5TH FLOOR,,LONDON,,W1J 0DR,GB,Special character ,Swapping the order of dataset  - City,"SACKVILLE HOUSE 40 PICCADILLY,5TH FLOOR,LONDON,W1J 0DR"
59,710705111,PRINCES HOUSE,38 JERMYN STREET,,LONDON,GB-LND,SW1Y 6DN,GB,Special character ,Swapping the order of dataset  - City,"PRINCES HOUSE,38 JERMYN STREET,LONDON, ,SW1Y 6DN"
60,710016518,EVERSHEDS HOUSE 70,GREAT BRIDGEWATER STREET,,MANCHESTER,GB-ENG,M1 5ES,GB,Special character ,Swapping the order of dataset  - City,"EVERSHEDS HOUSE 70,GREAT BRIDGEWATER STREET,MANCHESTER, ,M1 5ES"
61,710830469,"WINCHESTER HOUSE, MAILSTOP 429",1 GREAT WINCHESTER STREET,,LONDON,UNITED KINGDOM-NA,EC2N 2DB,GB,Special character ,Swapping the order of dataset  - City,"WINCHESTER HOUSE, MAILSTOP 429,1 GREAT WINCHESTER STREET,LONDON, ,EC2N 2DB"
62,710757115,LANCASTER HOUSE,"LANCASTER WAY, ERMINE BUSINESS PARK",,HUNTINGDON,CAMBRIDGESHIRE,PE29 6XU,GB,Special character ,Swapping the order of dataset  - City,"LANCASTER HOUSE,LANCASTER WAY, ERMINE BUSINESS PARK,HUNTINGDON,CAMBRIDGESHIRE,PE29 6XU"
63,710829404,Albion House,32 Pinchbeck Road,Spalding,,,PE11 1QD,GB,Special character ,Swapping the order of dataset  - City,"Albion House,32 Pinchbeck Road,Spalding,N/A,PE11 1QD"
64,710841165,SUITE 815 SALISBURY HOUSE,29 FINSBURY CIRCUS,,LONDON,GB-ENG,EC2M 5QQ,GB,Special character ,Swapping the order of dataset  - City,"SUITE 815 SALISBURY HOUSE,29 FINSBURY CIRCUS,LONDON, ,EC2M 5QQ"
65,710843583,BOW BELLS HOUSE,1 BREAD STREET,,LONDON,UNITED KINGDOM-NA,EC4M 9HH,GB,Special character ,Swapping the order of dataset  - City,"BOW BELLS HOUSE,1 BREAD STREET,LONDON, ,EC4M 9HH"
66,710884299,KINGFISHER HOUSE HURSTWOOD GRANGE,HURSTWOOD LANE,,HAYWARDS HEATH,GB-ENG,RH17 7QX,GB,Special character ,Swapping the order of dataset  - City,"KINGFISHER HOUSE HURSTWOOD GRANGE,HURSTWOOD LANE,HAYWARDS HEATH, ,RH17 7QX"
67,710884358,QUALITY HOUSE,VICARAGE LANE,,BLACKPOOL,,FY4 4NQ,GB,Special character ,Swapping the order of dataset  - City,"QUALITY HOUSE,VICARAGE LANE,BLACKPOOL,FY4 4NQ"
68,710880315,Dawson House,5 Jewry Street,,London,,EC3N 2EX,GB,Special character ,Swapping the order of dataset  - City,"Dawson House,5 Jewry Street,London,EC3N 2EX"
69,710892610,HORSEFERRY HOUSE,HORSEFERRY ROAD,,LONDON,,SW1P 2AW,GB,Special character ,Swapping the order of dataset  - City,"HORSEFERRY HOUSE,HORSEFERRY ROAD,LONDON,SW1P 2AW"
70,710867196,MALTA HOUSE,36-38 PICCADILLY,,LONDON,UNITED KINGDOM-NA,W1J 0DP,GB,Special character ,Swapping the order of dataset  - City,"MALTA HOUSE,36-38 PICCADILLY,LONDON, ,W1J 0DP"
71,710030094,NOMURA HOUSE,1 ST MARTIN'S-LE-GRAND,,LONDON,UNITED KINGDOM-NA,EC1A 4NP,GB,Special character ,Swapping the order of dataset  - City,"NOMURA HOUSE,1 ST MARTIN'S-LE-GRAND,LONDON, ,EC1A 4NP"
72,715911145,PROGENY HOUSE,46 PARK PLACE,,LEEDS,YORKSHIRE,LS1 2RY,GB,Special character ,Swapping the order of dataset  - City,"PROGENY HOUSE,46 PARK PLACE,LEEDS,YORKSHIRE,LS1 2RY"
73,712130956,Eversheds House,70 Great Bridgewater Street,,Manchester,,M1 5ES,GB,Special character ,Swapping the order of dataset  - City,"Eversheds House,70 Great Bridgewater Street,Manchester,M1 5ES"
74,711653059,JACOBSEN HOUSE,140 BRIDGE STREET,NORTHAMPTONSHIRE,NORTHAMPTON,GB-ENG,NN1 1PZ,GB,Special character ,Swapping the order of dataset  - City,"JACOBSEN HOUSE,140 BRIDGE STREET,NORTHAMPTONSHIRE,NORTHAMPTON, ,NN1 1PZ"
75,712446088,Berkeley Square House,4-19 Berkeley Square,,London,GB-ENG,W1J 6BR,GB,Special character ,Swapping the order of dataset  - City,"Berkeley Square House,4-19 Berkeley Square,London, ,W1J 6BR"
76,712754757,"HESTAN HOUSE, TOP FLOOR",CRICHTON BUSINESS PARK  BANKEND ROAD,,DUMFRIES,UNITED KINGDOM-NA,DG1 4ZZ,GB,Special character ,Swapping the order of dataset  - City,"HESTAN HOUSE, TOP FLOOR,CRICHTON BUSINESS PARK  BANKEND ROAD,DUMFRIES, ,DG1 4ZZ"
77,712746168,PROGENY HOUSE,46 PARK PLACE,,LEEDS,YORKSHIRE,LS1 2RY,GB,Special character ,Swapping the order of dataset  - City,"PROGENY HOUSE,46 PARK PLACE,LEEDS,YORKSHIRE,LS1 2RY"
78,715912166,GROVE HOUSE,WAVERLY ROAD,,ST ALBANS,UNITED KINGDOM-NA,AL3 5QX,GB,Special character ,Swapping the order of dataset  - City,"GROVE HOUSE,WAVERLY ROAD,ST ALBANS, ,AL3 5QX"
79,712738655,PRICEWATERHOUSE COOPERS,PLUMTREE COURT,,LONDON,UNITED KINGDOM-NA,EC4A 4HT,GB,Special character ,Swapping the order of dataset  - City,"PRICEWATERHOUSE COOPERS,PLUMTREE COURT,LONDON, ,EC4A 4HT"
80,712723061,GLOBE HOUSE,1 WATER STREET,,LONDON,,WC2R 3LA,GB,Special character ,Swapping the order of dataset  - City,"GLOBE HOUSE,1 WATER STREET,LONDON,WC2R 3LA"
81,712754909,FRIARS HOUSE,160 BLACKFRIARS ROAD,,LONDON,UNITED KINGDOM-NA,SE1 8EZ,GB,Special character ,Swapping the order of dataset  - City,"FRIARS HOUSE,160 BLACKFRIARS ROAD,LONDON, ,SE1 8EZ"
82,711989798,Cosmopolitan House,10A Christina Street,Unit 3,London,,EC2A 4PA,GB,Special character ,Swapping the order of dataset  - City,"Cosmopolitan House,10A Christina Street,Unit 3,London,EC2A 4PA"
83,712735244,MARINER HOUSE,PEPYS STREET,,LONDON,UNITED KINGDOM-NA,EC3N 4DA,GB,Special character ,Swapping the order of dataset  - City,"MARINER HOUSE,PEPYS STREET,LONDON, ,EC3N 4DA"
